기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
㈜미건하우징,                                현장관리인(현장직) / 영업(하우징) 직원 채용,경력2년↑,고졸↑,경기 외,경기 광명시 외,~01/31(월),"건축, 건축기사, 건축설계, 건축시공, 공무, 건설, 현장소장, 공무, 관리, 국내영업, 일반영업, 거래처관리, 매출관리, 건축설계, 건축시공, 리노베이션, 실내건축, 실내디자인, 인테리어, 인테리어설계, 인테리어시공, CAD, 건설현장, 건축시공, 공무, 시공, 현장관리, 건축설비, 시설관리, 안전"
㈜미니게이트,                                [미니게이트] 게임 개발자 채용,경력1년↑,학력무관,서울,서울 송파구,~03/22(화),"HTML, Java"
한국해양수산개발원,                                2021년 제10차 기간제 연구직 채용,신입·경력,석사↑,부산,부산 영도구,~01/06(목),"국제협력, 공공기관, 공기업, 안전, 환경, 연구·실험·기술, 조선·항공·우주, 경영·경제연구"
LX인터내셔널,                                인도네시아 팜법인 한국인 현지채용,신입·경력,대졸↑,아시아·중동,아시아·중동 인도네시아,~01/02(일),"사업기획, 사업제휴, 신규사업·BD"
현대글로벌서비스,                                [현대글로벌기술서비스] 2022년도 경력사원 채용,경력,대졸↑,부산,부산 해운대구,~01/02(일),"구매, 기술서비스, 기술보증, 영업, DT설계, 인사, 경영지원, 원가회계, 기구설계"
㈜해커스어학원,                                [신입/경력] 강의제작 (일본어) 수시 채용,신입·경력,초대졸↑,서울,서울 서초구,~03/22(화),"강의제작, 콘텐츠제작, 콘텐츠검수, 온라인강의 콘텐츠, 온라인강의 콘텐츠 유지보수, 일어컨텐츠기획, 일어컨텐츠개발, 어학원, 영어학원, 컨텐츠개발, e러닝, 컨텐츠, 컨텐츠기획, 컨텐츠개발, 컨텐츠관리, 교육기획, 교재컨텐츠개발, 교육프로그램, 일본어, 중국어"
㈜쎌바이오텍,                                [Bio건강기능식품] 재무기획팀 경력 채용 (대리-과장급)                            ,경력4년↑,초대졸↑,서울,서울 서초구,~01/21(금),"바이오, 생명공학, 제약, 결산, 부가세신고, 전산회계, 출납, 회계감사, 감사, 결산, 재무, 재무기획, 재무회계"
연세대학교원주세브란스기독병원,                                의료기기 임상시험센터 행정사무원(계약직) 채용공고                            ,경력무관,대졸↑,강원,강원 원주시,~03/22(화),사무행정
아데코코리아,                                [전남 순천/외국계전기] IT Admin/Engineering Support 포지션 채용,경력무관,학력무관,전남,전남 순천시 외,~01/07(금),"자동제어, 전기, 전기공사, 전자, 제어, 네트워크관리, 서버관리자, 시스템운영, 유지보수, 하드웨어, 소프트웨어, 네트워크엔지니어"
SK에코플랜트㈜,                                [SK에코플랜트] 안전관리 및 보건관리 경력직/신입 채용,신입·경력3년↑,초대졸↑,서울,서울 종로구,~01/04(화),"보건, 안전, 환경관리, 환경, 건설안전, 산업안전, 산업안전, 산업안전기사, 안전, 환경관리, 기타의료직, 환경"
대협철강㈜,                                총무팀 사무직 사원 채용,경력무관,초대졸↑,경기,경기 화성시 외,~01/21(금),"경영관리, 대협철강㈜, 철강, 관리, 문서관리, 총무, 문서관리, 사무보조, 전산입력"
LX판토스,                                W&D 운송 배차 업무 경력직 채용 (안양 / 창원 / 여수)                            ,경력,대졸↑,경남 외,경남 창원시 외,~01/05(수),"운송관리, 물류, 배차, 물류관리, 물류센터"
㈜미니게이트,                                [미니게이트] AI 서비스 기획자 채용,경력,초대졸↑,서울,서울 송파구,~03/22(화),"인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝, 데이터분석"
대한칼소닉㈜,                                개발품 생산라인 구축 및 공정설계 담당 채용의 건                            ,경력무관,대졸↑,충남,충남 천안시,~03/22(화),"기계설비, 자동차부품, 공정관리, 기계, 공정엔지니어"
㈜디에이티신소재,"                                디에이티신소재 해외영업 신입,대리급 채용",신입,초대졸↑,충남,충남 당진시,~03/22(화),"금속가공, 금속재료, 영어, 해외영업"
㈜포인트모바일,                                (주)포인트모바일 글로벌세일즈팀(러시아) 신입 / 경력 직원채용,경력,초대졸↑,서울,서울 금천구,~01/20(목),"모바일, 안드로이드, PDA, 러시아어, 바이어관리, 수출입계약, 영어, 해외영업, 무역, 무역사무, 무역영어, 수출입무역, 오더관리, 가맹점관리, 거래처관리, 영업관리, 영업기획, 영업지원"
SK하이닉스㈜,                                분당사업장 비서 채용,신입·경력,학력무관,경기,경기 성남시,~01/03(월),"비서, 임원비서"
㈜유투바이오,                                (주)유투바이오 영업관리팀 채용 (계약직)                            ,경력무관,학력무관,서울,서울 송파구,~03/22(화),"매출관리, 영업관리, 영업지원"
